,EFA,"Credited Energy Volume 
Battery MWh Output",Battery SoC,Day Ahead Price (EPEX),GB-ISEM Intraday 1 Price,DA HH Price,SSP,SBP,IDC Price,Imbalance Revenue,Imbalance Charge,DA MW,EPEX DA Revenues,EPEX 30 DA MW,EPEX 30 DA Revenue,IDA1 MW,IDA1 Revenue,IDC MW,IDC Revenue,SFFR Availability,SFFR Clearing Price,SFFR revenues,DCL Availability,DCL Clearing Price,DCL revenues,DCH Availability,DCH Clearing Price,DCH revenues,DML Availability,DML Clearing Price,DML revenues,DMH Availability,DMH Clearing Price,DMH revenues,DRL Availability,DRL Clearing Price,DRL revenues,DRH Availability,DRH Clearing Price,DRH revenues,Physical_Power_MW,Physical_SoC
2025-09-01 00:30:00,1,0.0,,23.2,23.9,22.4,28.02,28.02,,0.0,0.0,0,,0.0,0.0,0.0,0.0,0,0,7,2.89,10.115,0,4.69,0,0,3.51,0,0,6.89,0,0,4.14,0,0,9.63,0,0,3.43,0,0.00018,3.25
2025-09-01 01:00:00,1,0.0,,15.7,25.0,20.0,26.93,26.93,,0.0,0.0,0,,0.0,0.0,0.0,0.0,0,0,7,2.89,10.115,0,4.69,0,0,3.51,0,0,6.89,0,0,4.14,0,0,9.63,0,0,3.43,0,-0.0005566666666666,3.19
2025-09-01 01:30:00,1,0.0,,15.7,25.63,20.0,9.86,9.86,,0.0,0.0,0,,0.0,0.0,0.0,0.0,0,0,7,2.89,10.115,0,4.69,0,0,3.51,0,0,6.89,0,0,4.14,0,0,9.63,0,0,3.43,0,-0.0004966666666666,3.17
2025-09-01 02:00:00,1,0.0,,13.0,25.63,24.0,2.77,2.77,,0.0,0.0,0,,0.0,0.0,0.0,0.0,0,0,7,2.89,10.115,0,1.67,0,0,5.84,0,0,3.2,0,0,8.55,0,0,5.93,0,0,13.21,0,0.0004266666666666,3.14
2025-09-01 02:30:00,1,0.0,,13.0,25.0,20.25,23.65,23.65,,0.0,0.0,0,,0.0,0.0,0.0,0.0,0,0,7,2.89,10.115,0,1.67,0,0,5.84,0,0,3.2,0,0,8.55,0,0,5.93,0,0,13.21,0,0.0003766666666666,3.16
2025-09-01 03:00:00,2,0.0,,9.2,24.8,20.0,48.8,48.8,,0.0,0.0,0,,0.0,0.0,0.0,0.0,0,0,7,3.55,12.425,0,1.67,0,0,5.84,0,0,3.2,0,0,8.55,0,0,5.93,0,0,13.21,0,0.0003666666666666,3.08
2025-09-01 03:30:00,2,0.0,,9.2,24.8,20.0,48.9,48.9,,0.0,0.0,0,,0.0,0.0,0.0,0.0,0,0,7,3.55,12.425,0,1.67,0,0,5.84,0,0,3.2,0,0,8.55,0,0,5.93,0,0,13.21,0,0.0004466666666666,3.03
2025-09-01 04:00:00,2,0.0,,12.0,33.8,25.8,32.59,32.59,,0.0,0.0,0,,0.0,0.0,0.0,0.0,0,0,7,3.55,12.425,0,1.67,0,0,5.84,0,0,3.2,0,0,8.55,0,0,5.93,0,0,13.21,0,-0.0014466666666666,2.98
2025-09-01 04:30:00,2,0.0,,12.0,30.0,20.0,40.08,40.08,,0.0,0.0,0,,0.0,0.0,0.0,0.0,0,0,7,3.55,12.425,0,1.67,0,0,5.84,0,0,3.2,0,0,8.55,0,0,5.93,0,0,13.21,0,-0.00044,2.95
2025-09-01 05:00:00,2,0.0,,22.3,28.3,18.58,96.7,96.7,,0.0,0.0,0,,0.0,0.0,0.0,0.0,0,0,7,3.55,12.425,0,1.67,0,0,5.84,0,0,3.2,0,0,8.55,0,0,5.93,0,0,13.21,0,-0.00522,2.92
2025-09-01 05:30:00,2,0.0,,22.3,32.9,24.99,100.0,100.0,,0.0,0.0,0,,0.0,0.0,0.0,0.0,0,0,7,3.55,12.425,0,1.67,0,0,5.84,0,0,3.2,0,0,8.55,0,0,5.93,0,0,13.21,0,-0.0004133333333333,2.87
2025-09-01 06:00:00,2,0.0,,43.9,33.89,44.0,65.94,65.94,,0.0,0.0,0,,0.0,0.0,0.0,0.0,0,0,7,3.55,12.425,0,12.21,0,0,2.37,0,0,15.37,0,0,3.68,0,0,18.43,0,0,5.82,0,-0.0012966666666666,2.84
2025-09-01 06:30:00,2,0.0,,43.9,68.8,74.0,78.75,78.75,,0.0,0.0,0,,0.0,0.0,0.0,0.0,0,0,7,3.55,12.425,0,12.21,0,0,2.37,0,0,15.37,0,0,3.68,0,0,18.43,0,0,5.82,0,-0.0036633333333333,2.82
2025-09-01 07:00:00,3,0.0,,67.1,66.91,64.9,80.11,80.11,,0.0,0.0,0,,0.0,0.0,0.0,0.0,0,0,6,8.0,24.0,0,12.21,0,0,2.37,0,0,15.37,0,0,3.68,0,0,18.43,0,0,5.82,0,-0.00586,2.79
2025-09-01 07:30:00,3,0.0,,67.1,81.5,73.1,21.04,21.04,,0.0,0.0,0,,0.0,0.0,0.0,0.0,0,0,5,8.0,20.0,0,12.21,0,0,2.37,0,0,15.37,0,0,3.68,0,0,18.43,0,0,5.82,0,-0.0079533333333333,2.76
2025-09-01 08:00:00,3,0.0,,66.0,88.0,80.0,-6.57,-6.57,,0.0,0.0,0,,0.0,0.0,0.0,0.0,0,0,4,8.0,16.0,0,12.21,0,0,2.37,0,0,15.37,0,0,3.68,0,0,18.43,0,0,5.82,0,-0.00176,2.71
2025-09-01 08:30:00,3,0.0,,66.0,92.6,84.69,21.71,21.71,,0.0,0.0,0,,0.0,0.0,0.0,0.0,0,0,4,8.0,16.0,0,12.21,0,0,2.37,0,0,15.37,0,0,3.68,0,0,18.43,0,0,5.82,0,-0.0059966666666666,2.68
2025-09-01 09:00:00,3,0.0,,55.5,84.69,78.3,63.77,63.77,,0.0,0.0,0,,0.0,0.0,0.0,0.0,0,0,2,8.0,8.0,0,12.21,0,0,2.37,0,0,15.37,0,0,3.68,0,0,18.43,0,0,5.82,0,-0.0032366666666666,2.65
2025-09-01 09:30:00,3,0.0,,55.5,70.0,65.32,-11.45,-11.45,,0.0,0.0,0,,0.0,0.0,0.0,0.0,0,0,1,8.0,4.0,0,12.21,0,0,2.37,0,0,15.37,0,0,3.68,0,0,18.43,0,0,5.82,0,-0.00375,2.68
2025-09-01 10:00:00,3,0.0,,42.0,67.85,66.0,-11.45,-11.45,,0.0,0.0,0,,0.0,0.0,0.0,0.0,0,0,3,8.0,12.0,0,2.84,0,0,4.77,0,0,5.87,0,0,7.69,0,0,9.32,0,0,5.38,0,-0.00315,2.65
2025-09-01 10:30:00,3,0.0,,42.0,52.0,59.84,47.33,47.33,,0.0,0.0,0,,0.0,0.0,0.0,0.0,0,0,2,8.0,8.0,0,2.84,0,0,4.77,0,0,5.87,0,0,7.69,0,0,9.32,0,0,5.38,0,-0.00314,2.57
2025-09-01 11:00:00,4,0.0,,27.1,33.97,44.0,18.98,18.98,,0.0,0.0,0,,0.0,0.0,0.0,0.0,0,0,4,6.36,12.72,0,2.84,0,0,4.77,0,0,5.87,0,0,7.69,0,0,9.32,0,0,5.38,0,-0.00324,2.55
2025-09-01 11:30:00,4,0.0,,27.1,28.03,35.66,14.53,14.53,,0.0,0.0,0,,0.0,0.0,0.0,0.0,0,0,2,6.36,6.36,0,2.84,0,0,4.77,0,0,5.87,0,0,7.69,0,0,9.32,0,0,5.38,0,-0.00312,2.52
2025-09-01 12:00:00,4,0.0,,12.0,22.57,29.0,1.0,1.0,,0.0,0.0,0,,0.0,0.0,0.0,0.0,0,0,1,6.36,3.18,0,2.84,0,0,4.77,0,0,5.87,0,0,7.69,0,0,9.32,0,0,5.38,0,-0.0036433333333333,2.47
2025-09-01 12:30:00,4,0.0,,12.0,17.53,24.0,27.27,27.27,,0.0,0.0,0,,0.0,0.0,0.0,0.0,0,0,1,6.36,3.18,0,2.84,0,0,4.77,0,0,5.87,0,0,7.69,0,0,9.32,0,0,5.38,0,-0.00319,2.44
2025-09-01 13:00:00,4,0.0,,9.1,6.02,15.5,15.5,15.5,,0.0,0.0,0,,0.0,0.0,0.0,0.0,0,0,0,6.36,0.0,0,2.84,0,0,4.77,0,0,5.87,0,0,7.69,0,0,9.32,0,0,5.38,0,-0.0031566666666666,2.47
2025-09-01 13:30:00,4,0.0,,9.1,0.0,10.0,4.3,4.3,,0.0,0.0,0,,0.0,0.0,0.0,0.0,0,0,5,6.36,15.9,0,2.84,0,0,4.77,0,0,5.87,0,0,7.69,0,0,9.32,0,0,5.38,0,-0.00322,2.41
2025-09-01 14:00:00,4,0.0,,9.1,24.0,31.44,-17.32,-17.32,,0.0,0.0,0,,0.0,0.0,0.0,0.0,0,0,5,6.36,15.9,0,5.08,0,0,4.45,0,0,8.43,0,0,8.66,0,0,11.03,0,0,11.81,0,-0.0030033333333333,2.38
2025-09-01 14:30:00,4,0.0,,9.1,24.56,27.77,-17.32,-17.32,,0.0,0.0,0,,0.0,0.0,0.0,0.0,0,0,0,6.36,0.0,0,5.08,0,0,4.45,0,0,8.43,0,0,8.66,0,0,11.03,0,0,11.81,0,-0.00349,2.36
2025-09-01 15:00:00,5,0.0,,14.9,36.8,32.0,29.07,29.07,,0.0,0.0,0,,0.0,0.0,0.0,0.0,0,0,1,7.2,3.6,0,5.08,0,0,4.45,0,0,8.43,0,0,8.66,0,0,11.03,0,0,11.81,0,-0.00428,2.33
